r_cm,z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3,alpha
4.772336e+00,9.799423e+00,9.426210e+09,3.269678e+00,2.419823e+13,5.251802e+00,3.352616e+01
4.772336e+00,1.082672e+01,1.052632e+10,3.616323e+00,2.555896e+13,8.945276e+00,2.997519e+01
4.772336e+00,1.181160e+01,1.125360e+10,3.983721e+00,2.666270e+13,1.423775e+01,2.763257e+01
4.772336e+00,1.273707e+01,1.139064e+10,4.349668e+00,2.743347e+13,2.089622e+01,2.659902e+01
4.772336e+00,1.359049e+01,1.081423e+10,4.469223e+00,2.785881e+13,2.848610e+01,2.706186e+01
4.772336e+00,1.436388e+01,9.679726e+09,4.472496e+00,2.802324e+13,3.667620e+01,2.907301e+01
4.772336e+00,1.505375e+01,8.228209e+09,4.474300e+00,2.803081e+13,4.671382e+01,3.288826e+01
4.772336e+00,1.566048e+01,6.656944e+09,4.475433e+00,2.796239e+13,6.366067e+01,3.924161e+01
4.772336e+00,1.618748e+01,5.108085e+09,4.476027e+00,2.787265e+13,9.980418e+01,4.969805e+01
4.772336e+00,1.664030e+01,3.670819e+09,4.475993e+00,2.779291e+13,5.277335e+01,6.774941e+01
4.772336e+00,1.702576e+01,2.391128e+09,4.475760e+00,2.773689e+13,8.568511e+00,1.027109e+02
4.772336e+00,1.735128e+01,1.284080e+09,4.475624e+00,2.770700e+13,4.219874e-01,1.901934e+02
5.618700e+00,1.487201e-01,2.725381e+08,1.901929e+00,1.387616e+13,1.390913e-05,7.396070e+02
5.618700e+00,4.742405e-01,5.113039e+08,1.904247e+00,1.397878e+13,2.660226e-04,3.963570e+02
5.618700e+00,8.597004e-01,7.950664e+08,1.910270e+00,1.412389e+13,1.368210e-03,2.580657e+02
5.618700e+00,1.312518e+00,1.130724e+09,1.921928e+00,1.432679e+13,4.593202e-03,1.853199e+02
5.618700e+00,1.839522e+00,1.525932e+09,1.941829e+00,1.460676e+13,1.244254e-02,1.416238e+02
5.618700e+00,2.446252e+00,1.989221e+09,1.973384e+00,1.498702e+13,2.968441e-02,1.131366e+02
5.618700e+00,3.136121e+00,2.530163e+09,2.020914e+00,1.549400e+13,6.529860e-02,9.339198e+01
5.618700e+00,3.909510e+00,3.159504e+09,2.089698e+00,1.615541e+13,1.361711e-01,7.893804e+01
5.618700e+00,4.762930e+00,3.889140e+09,2.185941e+00,1.699637e+13,2.740967e-01,6.777704e+01
5.618700e+00,5.688405e+00,4.731693e+09,2.316568e+00,1.803332e+13,5.387489e-01,5.871612e+01
5.618700e+00,6.673277e+00,5.699415e+09,2.488733e+00,1.926536e+13,1.040577e+00,5.105410e+01
5.618700e+00,7.700577e+00,6.802197e+09,2.708834e+00,2.066391e+13,1.978091e+00,4.439903e+01
5.618700e+00,8.750000e+00,8.038179e+09,2.980815e+00,2.216380e+13,3.688297e+00,3.857234e+01
5.618700e+00,9.799423e+00,9.316082e+09,3.303761e+00,2.366102e+13,6.646621e+00,3.374428e+01
5.618700e+00,1.082672e+01,1.046443e+10,3.669375e+00,2.502584e+13,1.136005e+01,3.005421e+01
5.618700e+00,1.181160e+01,1.124248e+10,4.060673e+00,2.613273e+13,1.803199e+01,2.761518e+01
5.618700e+00,1.273707e+01,1.140499e+10,4.453289e+00,2.689724e+13,2.603917e+01,2.655101e+01
5.618700e+00,1.359049e+01,1.080716e+10,4.471154e+00,2.730285e+13,3.422248e+01,2.707780e+01
5.618700e+00,1.436388e+01,9.665055e+09,4.473846e+00,2.745306e+13,4.024217e+01,2.912079e+01
5.618700e+00,1.505375e+01,8.212279e+09,4.475327e+00,2.744994e+13,4.213297e+01,3.295528e+01
