E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
120,0.2,1.738531e+00,1.739110e-23,3.294415e-15,6.711686e-14,1.723972e+00,3.106952e-23,3.308144e-15,8.930001e-19,0.0084,0.7865,0.0042,1.0000
120,0.3,1.868164e+00,5.361728e-23,2.926743e-15,6.605117e-14,1.842659e+00,1.102650e-22,2.990654e-15,1.228402e-18,0.0137,1.0565,0.0218,1.0000
120,0.5,2.244864e+00,8.111421e-22,2.170530e-15,6.435285e-14,2.236327e+00,1.039690e-21,2.209600e-15,4.398161e-18,0.0038,0.2818,0.0180,0.9999
120,0.67,2.714366e+00,8.795701e-21,1.548062e-15,6.381913e-14,2.699672e+00,7.685062e-21,1.566747e-15,2.071750e-17,0.0054,0.1263,0.0121,0.9997
130,0,1.674908e+00,1.880583e-23,3.569109e-15,6.791278e-14,1.677224e+00,3.046305e-23,3.474258e-15,1.004962e-18,0.0014,0.6199,0.0266,1.0000
130,0.1,1.746162e+00,3.554763e-23,3.304493e-15,6.711620e-14,1.741320e+00,6.693496e-23,3.281501e-15,1.118243e-18,0.0028,0.8830,0.0070,1.0000
130,0.2,1.858585e+00,8.971253e-23,2.980595e-15,6.617320e-14,1.839582e+00,1.552036e-22,3.025871e-15,1.425024e-18,0.0102,0.7300,0.0152,1.0000
130,0.3,2.004527e+00,2.720663e-22,2.639534e-15,6.527726e-14,1.981417e+00,3.839491e-22,2.710181e-15,2.169004e-18,0.0115,0.4112,0.0268,1.0000
130,0.5,2.402534e+00,3.079932e-21,1.965012e-15,6.406001e-14,2.403156e+00,3.083875e-21,1.982948e-15,8.655785e-18,0.0003,0.0013,0.0091,0.9999
130,0.67,2.866777e+00,2.379208e-20,1.417047e-15,6.382604e-14,2.856184e+00,2.004108e-20,1.420067e-15,3.726585e-17,0.0037,0.1577,0.0021,0.9994
140,0,1.756631e+00,6.868489e-23,3.304072e-15,6.708936e-14,1.769673e+00,1.284091e-22,3.220824e-15,1.389953e-18,0.0074,0.8695,0.0252,1.0000
140,0.1,1.854797e+00,1.490000e-22,3.017782e-15,6.625541e-14,1.850778e+00,2.306047e-22,3.021590e-15,1.679172e-18,0.0022,0.5477,0.0013,1.0000
140,0.2,1.983507e+00,3.826542e-22,2.710071e-15,6.543104e-14,1.967413e+00,4.737219e-22,2.765778e-15,2.337706e-18,0.0081,0.2380,0.0206,1.0000
140,0.3,2.141342e+00,1.076358e-21,2.399407e-15,6.472342e-14,2.125518e+00,1.109614e-21,2.461449e-15,3.839005e-18,0.0074,0.0309,0.0259,0.9999
140,0.5,2.551408e+00,9.264543e-21,1.797930e-15,6.390895e-14,2.558341e+00,8.288625e-21,1.797486e-15,1.580259e-17,0.0027,0.1053,0.0002,0.9998
140,0.67,3.002478e+00,5.421060e-20,1.311652e-15,6.387740e-14,2.993953e+00,4.614328e-20,1.304759e-15,6.030079e-17,0.0028,0.1488,0.0053,0.9991
150,0,1.855110e+00,2.429340e-22,3.042651e-15,6.630746e-14,1.874180e+00,3.588743e-22,2.983432e-15,1.992844e-18,0.0103,0.4773,0.0195,1.0000
150,0.1,1.969594e+00,5.459497e-22,2.764147e-15,6.555242e-14,1.969541e+00,6.293694e-22,2.782599e-15,2.596774e-18,0.0000,0.1528,0.0067,1.0000
150,0.2,2.109731e+00,1.342195e-21,2.479756e-15,6.487750e-14,2.099702e+00,1.273940e-21,2.533189e-15,3.873372e-18,0.0048,0.0509,0.0215,0.9999
150,0.3,2.276041e+00,3.452778e-21,2.198557e-15,6.434703e-14,2.267635e+00,2.948740e-21,2.246323e-15,6.658749e-18,0.0037,0.1460,0.0217,0.9999
150,0.5,2.689614e+00,2.326596e-20,1.660979e-15,6.385218e-14,2.699828e+00,2.016212e-20,1.646360e-15,2.667058e-17,0.0038,0.1334,0.0088,0.9996
150,0.67,3.123184e+00,1.084364e-19,1.225551e-15,6.395273e-14,3.115263e+00,9.495422e-20,1.213070e-15,8.929919e-17,0.0025,0.1243,0.0102,0.9986
160,0,1.960846e+00,7.803435e-22,2.805603e-15,6.564698e-14,1.985183e+00,8.941269e-22,2.765976e-15,2.942570e-18,0.0124,0.1458,0.0141,1.0000
160,0.1,2.086483e+00,1.716090e-21,2.544398e-15,6.500954e-14,2.091501e+00,1.581028e-21,2.567918e-15,4.072426e-18,0.0024,0.0787,0.0092,0.9999
160,0.2,2.234867e+00,3.959051e-21,2.284199e-15,6.448317e-14,2.230635e+00,3.203530e-21,2.329449e-15,6.358022e-18,0.0019,0.1908,0.0198,0.9999
160,0.3,2.406417e+00,9.323164e-21,2.030178e-15,6.410724e-14,2.403323e+00,7.300601e-21,2.062911e-15,1.113656e-17,0.0013,0.2169,0.0161,0.9998
160,0.5,2.816456e+00,5.072812e-20,1.547597e-15,6.385625e-14,2.827663e+00,4.443572e-20,1.522895e-15,4.178278e-17,0.0040,0.1240,0.0160,0.9993
160,0.67,3.230952e+00,1.961306e-19,1.154182e-15,6.403978e-14,3.222627e+00,1.772854e-19,1.139202e-15,1.230253e-16,0.0026,0.0961,0.0130,0.9981
175,0,2.123950e+00,3.586539e-21,2.502429e-15,6.490614e-14,2.153981e+00,3.184567e-21,2.480448e-15,5.406422e-18,0.0141,0.1121,0.0088,0.9999
175,0.1,2.260719e+00,7.356141e-21,2.270763e-15,6.445270e-14,2.271077e+00,5.694908e-21,2.292266e-15,7.920922e-18,0.0046,0.2258,0.0095,0.9999
175,0.2,2.416396e+00,1.534141e-20,2.044561e-15,6.412203e-14,2.417021e+00,1.138806e-20,2.074465e-15,1.273412e-17,0.0003,0.2577,0.0146,0.9998
175,0.3,2.590325e+00,3.203192e-20,1.826107e-15,6.392929e-14,2.590465e+00,2.474252e-20,1.839066e-15,2.210408e-17,0.0001,0.2276,0.0071,0.9997
175,0.5,2.986039e+00,1.333887e-19,1.410828e-15,6.392832e-14,2.996233e+00,1.225764e-19,1.377378e-15,7.248820e-17,0.0034,0.0811,0.0237,0.9989
175,0.67,3.372668e+00,4.134021e-19,1.067798e-15,6.417732e-14,3.362525e+00,3.892707e-19,1.052804e-15,1.790912e-16,0.0030,0.0584,0.0140,0.9972
200,0,2.391082e+00,2.653525e-20,2.118213e-15,6.421968e-14,2.419725e+00,2.089623e-20,2.106602e-15,1.425664e-17,0.0120,0.2125,0.0055,0.9998
200,0.1,2.535366e+00,4.785433e-20,1.931747e-15,6.401763e-14,2.544114e+00,3.640118e-20,1.941522e-15,2.138445e-17,0.0035,0.2393,0.0051,0.9997
200,0.2,2.692052e+00,8.599319e-20,1.752130e-15,6.391852e-14,2.690741e+00,6.774991e-20,1.759382e-15,3.371695e-17,0.0005,0.2121,0.0041,0.9995
200,0.3,2.859419e+00,1.528239e-19,1.579016e-15,6.391603e-14,2.856963e+00,1.305144e-19,1.569540e-15,5.474899e-17,0.0009,0.1460,0.0060,0.9991
200,0.5,3.221351e+00,4.572778e-19,1.243420e-15,6.412112e-14,3.227407e+00,4.571903e-19,1.207334e-15,1.408153e-16,0.0019,0.0002,0.0290,0.9978
200,0.67,3.568946e+00,1.094493e-18,9.620144e-16,6.439867e-14,3.554271e+00,1.072208e-18,9.518408e-16,2.759031e-16,0.0041,0.0204,0.0106,0.9957
225,0,2.636803e+00,1.179715e-19,1.846543e-15,6.398265e-14,2.653503e+00,9.845896e-20,1.835037e-15,3.247116e-17,0.0063,0.1654,0.0062,0.9995
225,0.1,2.778640e+00,1.906622e-19,1.695362e-15,6.394247e-14,2.777976e+00,1.610859e-19,1.693236e-15,4.746379e-17,0.0002,0.1551,0.0013,0.9993
225,0.2,2.927617e+00,3.051547e-19,1.549376e-15,6.397267e-14,2.919451e+00,2.721120e-19,1.541520e-15,7.073826e-17,0.0028,0.1083,0.0051,0.9989
225,0.3,3.082542e+00,4.819512e-19,1.406935e-15,6.405935e-14,3.075269e+00,4.621011e-19,1.386548e-15,1.056276e-16,0.0024,0.0412,0.0145,0.9984
225,0.5,3.412293e+00,1.149447e-18,1.123727e-15,6.432653e-14,3.413796e+00,1.210629e-18,1.093519e-15,2.199535e-16,0.0004,0.0532,0.0269,0.9966
225,0.67,3.730396e+00,2.316871e-18,8.874152e-16,6.459502e-14,3.711156e+00,2.295739e-18,8.835491e-16,3.663828e-16,0.0052,0.0091,0.0044,0.9943
250,0,2.853245e+00,3.687906e-19,1.650762e-15,6.398568e-14,2.855839e+00,3.392150e-19,1.636095e-15,6.266911e-17,0.0009,0.0802,0.0089,0.9990
250,0.1,2.987406e+00,5.467886e-19,1.525133e-15,6.403541e-14,2.977351e+00,5.170825e-19,1.514299e-15,8.772049e-17,0.0034,0.0543,0.0071,0.9986
250,0.2,3.125704e+00,8.021584e-19,1.402256e-15,6.412649e-14,3.112055e+00,7.957972e-19,1.386527e-15,1.227946e-16,0.0044,0.0079,0.0112,0.9981
250,0.3,3.268144e+00,1.163084e-18,1.280261e-15,6.424501e-14,3.257705e+00,1.212250e-18,1.257417e-15,1.697453e-16,0.0032,0.0423,0.0178,0.9974
250,0.5,3.572721e+00,2.367566e-18,1.034011e-15,6.451322e-14,3.570022e+00,2.543528e-18,1.013186e-15,2.997553e-16,0.0008,0.0743,0.0201,0.9954
250,0.67,3.867988e+00,4.231395e-18,8.329193e-16,6.476360e-14,3.845394e+00,4.177564e-18,8.345726e-16,4.472825e-16,0.0058,0.0127,0.0020,0.9931
275,0,3.040374e+00,9.023150e-19,1.505063e-15,6.410009e-14,3.032164e+00,9.037899e-19,1.487280e-15,1.048279e-16,0.0027,0.0016,0.0118,0.9984
275,0.1,3.165473e+00,1.252005e-18,1.397278e-15,6.419202e-14,3.149631e+00,1.290698e-18,1.381787e-15,1.402069e-16,0.0050,0.0309,0.0111,0.9978
275,0.2,3.293660e+00,1.721185e-18,1.290171e-15,6.430434e-14,3.277579e+00,1.835059e-18,1.272515e-15,1.853761e-16,0.0049,0.0662,0.0137,0.9971
